Digits,Largest Prime,Average Time,Run 1,Run 2,Run 3,Run 4,Run 5
1,7,2.2480000006908086e-06,6.899999959841807e-06,2.4999999936881068e-06,1.8999999724655936e-06,1.8000000068241206e-06,1.8999999724655936e-06
2,97,1.6960000039034642e-06,4.700000033608376e-06,3.4000000255218765e-06,1.499999996212864e-06,1.1999999856016075e-06,1.1000000199601345e-06
3,997,1.928000003772468e-06,5.499999986113835e-06,2.8000000042993634e-06,2.0999999605919584e-06,1.499999996212864e-06,1.499999996212864e-06
4,9973,1.0003999998389192e-05,1.3799999976527033e-05,1.0900000006586197e-05,9.70000002098459e-06,9.799999986626062e-06,9.70000002098459e-06
5,99991,6.74799999615061e-06,1.059999999597494e-05,7.799999991675577e-06,7.199999970453064e-06,6.900000016685226e-06,5.499999986113835e-06
6,999983,2.4951999998847897e-05,3.229999998666244e-05,2.7100000011159864e-05,2.4399999972501973e-05,2.4399999972501973e-05,2.4400000029345392e-05
7,9999991,4.328799999484545e-05,4.630000000815926e-05,4.419999999072388e-05,4.319999999324864e-05,4.3000000005122274e-05,4.3000000005122274e-05
8,99999989,0.00015889199998582628,0.00015389999998660642,0.00015289999998913117,0.00016849999997248233,0.0001513999999929183,0.0001494999999636093
9,999999937,0.0006964760000073511,0.0007328000000370594,0.0006796000000122149,0.0006864000000064152,0.0006670000000212895,0.0006824999999821557
10,9999999967,0.0015248120000069321,0.0015898000000333923,0.0014815999999768792,0.0014725000000339605,0.0014255000000389373,0.0014636000000223248
11,99999999977,0.004683991999988849,0.0045248999999785156,0.004522599999972954,0.004503899999974692,0.004890599999953338,0.004513099999996939
12,999999999989,0.014282779999996364,0.013704899999993359,0.014299600000015289,0.013942999999983385,0.01393719999998666,0.015067499999986467
13,9999999999971,0.04436631600000055,0.04533209999999599,0.04361669999997275,0.054985400000020945,0.04430170000000544,0.04697500000003174
14,99999999999973,0.17583367999999838,0.17211019999996324,0.180400499999962,0.18094009999998661,0.1704028000000335,0.17123670000000857
15,999999999999989,0.43661883199999696,0.4311050000000023,0.43252589999997326,0.44288629999999785,0.43187050000000227,0.4433179000000109
16,9999999999999937,2.5917770399999975,2.5872367000000054,2.591223800000023,2.6099484000000075,2.5666367000000037,2.586860999999999
17,99999999999999997,4.593129483999988,4.554415199999994,4.454720299999963,4.58788990000005,4.577505699999961,4.983081999999968
18,999999999999999989,13.940862252000002,14.061583400000018,14.388131000000044,13.783756700000026,13.745706299999938,13.84768100000008
19,9999999999999999961,97.73800776000002,97.78559500000006,96.26363749999996,98.50600880000002,97.87867360000018,98.09970629999998
